Client Number,Attrition Flag,Customer Age,Gender,Dependent Count,Education Level,Marital Status,Income Category,Card Category,Months on Book,Total Relationship Count,Months Inactive (Last 12 Months),Contacts Count (Last 12 Months),Credit Limit,Total Revolving Balance,Average Open to Buy,Total Amount Change (Q4 vs Q1),Total Transaction Amount,Total Transaction Count,Total Transaction Count Change (Q4 vs Q1),Average Utilization Ratio,Age Group,Tenure Years,Avg Transaction Value,Utilization Tier
715319958,Attrited Customer,48,Male,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516.0,787,33729.0,0.763,1312,32,0.6,0.023,Middle-Aged,3.0,41.0,Low
710528583,Existing Customer,26,Female,0,Unknown,Single,$40K - $60K,Blue,16,6,2,4,1612.0,835,777.0,0.588,2148,40,0.379,0.518,Young Adult,1.33,53.7,Moderate
809990883,Existing Customer,48,Female,3,Graduate,Single,Less than $40K,Blue,43,6,2,2,2423.0,1773,650.0,0.574,2038,64,0.362,0.732,Middle-Aged,3.58,31.84,High
714412308,Attrited Customer,33,Male,3,Graduate,Married,$80K - $120K,Blue,36,6,3,5,7140.0,0,7140.0,0.401,916,18,0.2,0.0,Adult,3.0,50.89,Low
772303458,Existing Customer,62,Female,0,Doctorate,Married,$40K - $60K,Blue,51,3,3,2,3377.0,948,2429.0,0.461,1407,44,0.467,0.281,Senior,4.25,31.98,Low
721243083,Attrited Customer,55,Male,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187,40,0.6,0.07,Middle-Aged,3.42,29.68,Low
711990933,Existing Customer,40,Female,2,Graduate,Single,Less than $40K,Blue,29,4,3,2,2295.0,0,2295.0,0.699,3292,62,0.824,0.0,Adult,2.42,53.1,Low
819977058,Existing Customer,46,Male,2,High School,Single,$40K - $60K,Blue,41,3,3,2,3150.0,1543,1607.0,0.998,3432,71,0.972,0.49,Middle-Aged,3.42,48.34,Moderate
721467258,Existing Customer,58,Male,1,High School,Married,$40K - $60K,Blue,36,3,2,5,2165.0,1135,1030.0,0.707,1541,33,0.833,0.524,Middle-Aged,3.0,46.7,Moderate
719976558,Existing Customer,47,Male,2,Graduate,Unknown,$60K - $80K,Blue,34,3,2,4,4249.0,1562,2687.0,0.773,1881,49,0.815,0.368,Middle-Aged,2.83,38.39,Moderate
718824783,Existing Customer,50,Male,2,Unknown,Divorced,$60K - $80K,Blue,41,6,1,3,2966.0,1433,1533.0,0.49,1986,50,0.613,0.483,Middle-Aged,3.42,39.72,Moderate
713303733,Existing Customer,53,Male,1,Graduate,Married,$120K +,Blue,41,6,3,2,1612.0,744,868.0,0.636,1564,33,0.5,0.462,Middle-Aged,3.42,47.39,Moderate
711129483,Existing Customer,45,Male,3,Graduate,Married,$60K - $80K,Blue,36,3,1,3,14593.0,1504,13089.0,0.668,3447,72,0.895,0.103,Adult,3.0,47.88,Low
779618433,Existing Customer,48,Male,4,Uneducated,Single,$40K - $60K,Blue,38,6,3,2,8327.0,1551,6776.0,0.463,4428,82,0.822,0.186,Middle-Aged,3.17,54.0,Low
797757333,Existing Customer,43,Male,3,Post-Graduate,Married,$60K - $80K,Gold,37,6,1,2,34516.0,1580,32936.0,0.707,4149,86,0.755,0.046,Adult,3.08,48.24,Low
814497483,Existing Customer,60,Male,0,Uneducated,Married,$60K - $80K,Blue,55,6,1,2,6479.0,1393,5086.0,0.468,1618,47,0.958,0.215,Middle-Aged,4.58,34.43,Low
709623483,Existing Customer,56,Male,2,High School,Married,$120K +,Blue,41,4,1,3,18442.0,1470,16972.0,0.491,1281,36,0.8,0.08,Middle-Aged,3.42,35.58,Low
709056558,Existing Customer,43,Female,3,College,Married,$40K - $60K,Blue,31,5,3,2,2800.0,2517,283.0,0.816,1994,41,0.64,0.899,Adult,2.58,48.63,High
708238833,Existing Customer,57,Female,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032.0,2215,817.0,0.408,1387,30,0.579,0.731,Middle-Aged,3.0,46.23,High
813261408,Existing Customer,52,Female,1,Uneducated,Married,$40K - $60K,Blue,47,6,3,3,2151.0,1338,813.0,0.926,3446,58,1.0,0.622,Middle-Aged,3.92,59.41,Moderate
720424608,Existing Customer,56,Female,1,Unknown,Married,Unknown,Blue,36,6,3,2,24073.0,1084,22989.0,0.847,1341,37,1.176,0.045,Middle-Aged,3.0,36.24,Low
798022683,Attrited Customer,43,Male,1,Graduate,Married,$80K - $120K,Blue,37,4,2,3,25517.0,321,25196.0,0.769,2508,44,0.294,0.013,Adult,3.08,57.0,Low
769756983,Existing Customer,38,Male,3,Graduate,Married,$60K - $80K,Blue,32,3,1,2,7709.0,2227,5482.0,1.295,2520,61,0.848,0.289,Adult,2.67,41.31,Low
712674183,Existing Customer,53,Male,2,College,Married,$40K - $60K,Blue,33,3,3,1,4065.0,2180,1885.0,0.321,1271,36,0.2,0.536,Middle-Aged,2.75,35.31,Moderate
708900408,Existing Customer,52,Female,1,Graduate,Divorced,Unknown,Blue,35,3,2,4,13169.0,1499,11670.0,0.603,4370,83,0.537,0.114,Middle-Aged,2.92,52.65,Low
713625483,Existing Customer,58,Male,2,College,Married,$80K - $120K,Blue,44,3,2,2,11811.0,2508,9303.0,0.476,1469,29,0.812,0.212,Middle-Aged,3.67,50.66,Low
716869458,Existing Customer,34,Female,3,College,Single,Less than $40K,Blue,36,3,6,1,7440.0,704,6736.0,0.551,2251,63,0.537,0.095,Adult,3.0,35.73,Low
788723133,Existing Customer,36,Male,1,High School,Single,$40K - $60K,Blue,20,5,1,2,12714.0,976,11738.0,0.649,2240,53,0.395,0.077,Adult,1.67,42.26,Low
794462133,Existing Customer,55,Female,0,Graduate,Single,$40K - $60K,Blue,35,5,1,3,3735.0,1978,1757.0,0.675,1749,41,0.577,0.53,Middle-Aged,2.92,42.66,Moderate
712604133,Existing Customer,54,Male,1,Uneducated,Married,$80K - $120K,Blue,43,3,1,4,25882.0,1699,24183.0,0.428,1736,48,0.371,0.066,Middle-Aged,3.58,36.17,Low
714397983,Existing Customer,36,Male,2,College,Married,$40K - $60K,Blue,36,4,3,1,3877.0,1495,2382.0,0.783,1942,42,0.75,0.386,Adult,3.0,46.24,Moderate
788269158,Existing Customer,35,Female,2,Graduate,Single,Unknown,Blue,27,4,3,0,3280.0,1806,1474.0,0.963,2534,78,0.95,0.551,Adult,2.25,32.49,Moderate
715898058,Existing Customer,53,Male,2,Graduate,Married,$120K +,Blue,36,5,1,3,11023.0,0,11023.0,0.539,1656,41,0.367,0.0,Middle-Aged,3.0,40.39,Low
711906033,Existing Customer,48,Female,3,Graduate,Unknown,Less than $40K,Blue,36,4,2,2,6182.0,1131,5051.0,0.566,3546,63,0.615,0.183,Middle-Aged,3.0,56.29,Low
711367308,Existing Customer,37,Male,3,Uneducated,Single,$40K - $60K,Blue,19,3,3,4,2186.0,1185,1001.0,0.998,2614,67,0.861,0.542,Adult,1.58,39.01,Moderate
790186458,Existing Customer,45,Male,3,Uneducated,Single,$80K - $120K,Blue,39,3,1,0,17996.0,864,17132.0,0.597,1589,30,0.667,0.048,Adult,3.25,52.97,Low
712040433,Existing Customer,54,Female,1,High School,Married,Less than $40K,Blue,43,6,2,3,2306.0,2200,106.0,0.697,2097,57,0.541,0.954,Middle-Aged,3.58,36.79,High
709616958,Existing Customer,38,Male,2,High School,Single,$60K - $80K,Silver,30,4,3,4,26556.0,1583,24973.0,0.694,3168,73,0.738,0.06,Adult,2.5,43.4,Low
714633858,Existing Customer,35,Female,2,College,Married,Less than $40K,Blue,18,3,3,2,5779.0,2517,3262.0,1.201,2102,32,1.133,0.436,Adult,1.5,65.69,Moderate
794818833,Existing Customer,36,Female,1,Uneducated,Single,Less than $40K,Blue,30,6,1,2,5494.0,2078,3416.0,0.79,2661,58,0.871,0.378,Adult,2.5,45.88,Moderate
711219333,Existing Customer,33,Male,1,Post-Graduate,Married,$120K +,Blue,14,6,1,0,7571.0,2264,5307.0,0.696,2273,49,0.485,0.299,Adult,1.17,46.39,Low
713384508,Existing Customer,28,Male,1,High School,Single,Less than $40K,Blue,14,4,3,1,2897.0,1398,1499.0,0.907,2698,73,0.872,0.483,Young Adult,1.17,36.96,Moderate
772514808,Existing Customer,36,Female,2,Uneducated,Single,$40K - $60K,Blue,26,3,2,4,3131.0,2379,752.0,0.748,2315,63,0.853,0.76,Adult,2.17,36.75,High
710808108,Existing Customer,34,Female,3,College,Divorced,Less than $40K,Blue,27,3,3,2,4274.0,2517,1757.0,0.666,2257,54,0.8,0.589,Adult,2.25,41.8,Moderate
778973658,Existing Customer,55,Male,0,Doctorate,Married,$60K - $80K,Blue,36,4,6,4,4980.0,906,4074.0,0.721,2273,66,0.886,0.182,Middle-Aged,3.0,34.44,Low
712005108,Existing Customer,61,Female,0,Post-Graduate,Married,Less than $40K,Blue,48,3,3,3,3156.0,2155,1001.0,0.438,1376,44,0.571,0.683,Senior,4.0,31.27,Moderate
804577833,Existing Customer,44,Female,2,Graduate,Married,Less than $40K,Blue,39,5,1,0,6861.0,2101,4760.0,0.464,3974,63,0.909,0.306,Adult,3.25,63.08,Moderate
715028283,Existing Customer,54,Male,1,Graduate,Married,$80K - $120K,Blue,46,3,3,2,15554.0,2497,13057.0,1.027,2836,61,0.605,0.161,Middle-Aged,3.83,46.49,Low
789786258,Existing Customer,39,Male,2,High School,Married,$80K - $120K,Blue,28,3,2,4,26570.0,1915,24655.0,1.454,2118,33,1.062,0.072,Adult,2.33,64.18,Low
715421058,Existing Customer,51,Male,1,Unknown,Married,$60K - $80K,Blue,36,3,2,4,22224.0,979,21245.0,1.255,3346,69,1.156,0.044,Middle-Aged,3.0,48.49,Low
797166633,Existing Customer,47,Male,2,Unknown,Single,$80K - $120K,Blue,41,6,2,4,10606.0,1713,8893.0,0.899,2694,61,0.906,0.162,Middle-Aged,3.42,44.16,Low
711041508,Existing Customer,37,Female,1,High School,Married,$40K - $60K,Blue,25,4,3,4,5865.0,2517,3348.0,1.348,2623,47,1.35,0.429,Adult,2.08,55.81,Moderate
712847208,Existing Customer,47,Female,3,Graduate,Unknown,$40K - $60K,Blue,36,5,2,3,5369.0,1854,3515.0,0.959,1898,50,0.786,0.345,Middle-Aged,3.0,37.96,Moderate
779174133,Existing Customer,56,Male,3,Uneducated,Married,$120K +,Blue,43,5,1,5,5188.0,753,4435.0,0.591,1540,30,0.429,0.145,Middle-Aged,3.58,51.33,Low
715680933,Existing Customer,53,Male,1,Graduate,Single,$80K - $120K,Blue,36,4,2,4,17742.0,1463,16279.0,0.803,3369,55,0.774,0.082,Middle-Aged,3.0,61.25,Low
770871708,Existing Customer,62,Male,0,Graduate,Married,$40K - $60K,Blue,48,5,1,5,2591.0,0,2591.0,0.601,2123,56,0.697,0.0,Senior,4.0,37.91,Low
772643058,Existing Customer,58,Female,3,Graduate,Married,Less than $40K,Blue,48,6,2,3,2800.0,1834,966.0,0.615,1571,36,0.636,0.655,Middle-Aged,4.0,43.64,Moderate
718199133,Existing Customer,57,Male,1,High School,Married,$80K - $120K,Blue,36,3,2,2,6543.0,2260,4283.0,0.448,1519,31,0.632,0.345,Middle-Aged,3.0,49.0,Moderate
721475133,Existing Customer,54,Female,1,Doctorate,Single,Unknown,Blue,36,6,3,4,26053.0,829,25224.0,0.669,2768,70,0.628,0.032,Middle-Aged,3.0,39.54,Low
766322883,Existing Customer,33,Female,3,College,Single,$40K - $60K,Blue,26,6,3,5,6316.0,1344,4972.0,0.823,2401,71,0.732,0.213,Adult,2.17,33.82,Low
771197433,Existing Customer,54,Female,1,Graduate,Married,Less than $40K,Blue,41,3,2,4,4658.0,588,4070.0,0.856,1351,30,1.5,0.126,Middle-Aged,3.42,45.03,Low
709516458,Existing Customer,30,Male,0,Graduate,Divorced,$60K - $80K,Blue,22,3,3,3,6476.0,0,6476.0,0.551,2723,66,0.65,0.0,Young Adult,1.83,41.26,Low
716456808,Existing Customer,36,Female,2,High School,Single,Less than $40K,Blue,36,6,2,5,8087.0,1263,6824.0,0.615,2429,69,0.643,0.156,Adult,3.0,35.2,Low
716819958,Existing Customer,60,Male,2,Graduate,Married,$60K - $80K,Blue,50,3,1,2,9033.0,845,8188.0,0.663,1661,35,0.4,0.094,Middle-Aged,4.17,47.46,Low
779449308,Existing Customer,46,Female,4,High School,Single,Less than $40K,Blue,28,6,3,4,3206.0,0,3206.0,1.065,3253,72,0.532,0.0,Middle-Aged,2.33,45.18,Low
784891458,Existing Customer,55,Male,1,Graduate,Married,$80K - $120K,Blue,49,4,3,3,28751.0,2158,26593.0,0.536,1502,34,0.789,0.075,Middle-Aged,4.08,44.18,Low
790004883,Existing Customer,55,Male,1,High School,Married,$80K - $120K,Blue,47,3,3,3,2938.0,1995,943.0,0.514,1352,30,0.429,0.679,Middle-Aged,3.92,45.07,Moderate
770262183,Existing Customer,31,Male,0,Uneducated,Single,Less than $40K,Blue,25,5,2,2,5715.0,1741,3974.0,0.816,2324,67,1.03,0.305,Adult,2.08,34.69,Moderate
715277583,Existing Customer,55,Female,3,Uneducated,Divorced,Less than $40K,Blue,36,3,2,1,2111.0,1209,902.0,0.594,2803,61,0.605,0.573,Middle-Aged,3.0,45.95,Moderate
815510883,Existing Customer,36,Male,2,Post-Graduate,Single,$40K - $60K,Blue,31,3,2,5,11862.0,2282,9580.0,0.837,2576,74,0.85,0.192,Adult,2.58,34.81,Low
713997183,Existing Customer,34,Female,2,Unknown,Single,Less than $40K,Blue,36,3,3,2,2791.0,2160,631.0,0.825,2214,56,0.6,0.774,Adult,3.0,39.54,High
715107033,Existing Customer,33,Female,1,Graduate,Single,Less than $40K,Blue,36,3,2,4,6551.0,1440,5111.0,0.629,2429,77,0.453,0.22,Adult,3.0,31.55,Low
720706008,Existing Customer,30,Male,2,Post-Graduate,Single,$40K - $60K,Blue,16,5,3,5,4533.0,1977,2556.0,0.664,2679,69,0.605,0.436,Young Adult,1.33,38.83,Moderate
710108133,Existing Customer,54,Female,2,Graduate,Married,$40K - $60K,Blue,36,5,3,0,1854.0,1528,326.0,0.444,1307,39,0.393,0.824,Middle-Aged,3.0,33.51,High
718983333,Existing Customer,53,Male,2,Uneducated,Married,$80K - $120K,Blue,43,6,1,3,6704.0,1354,5350.0,0.411,1331,30,0.364,0.202,Middle-Aged,3.58,44.37,Low
714030183,Existing Customer,59,Male,0,Graduate,Single,$80K - $120K,Silver,36,5,3,3,34516.0,1494,33022.0,1.229,3259,65,0.585,0.043,Middle-Aged,3.0,50.14,Low
710496708,Existing Customer,41,Male,2,College,Single,$120K +,Blue,32,6,3,2,5489.0,1513,3976.0,0.87,4085,65,0.548,0.276,Adult,2.67,62.85,Low
714935883,Existing Customer,45,Male,3,Uneducated,Married,$40K - $60K,Blue,36,3,1,1,10619.0,607,10012.0,0.883,4074,65,0.477,0.057,Adult,3.0,62.68,Low
718972758,Existing Customer,50,Female,2,Graduate,Married,Less than $40K,Blue,40,5,3,3,2481.0,1287,1194.0,0.465,1825,51,0.821,0.519,Middle-Aged,3.33,35.78,Moderate
711827958,Existing Customer,57,Male,2,Uneducated,Married,$60K - $80K,Blue,47,4,4,1,5100.0,1970,3130.0,0.371,1032,26,0.368,0.386,Middle-Aged,3.92,39.69,Moderate
778724058,Existing Customer,63,Male,0,Doctorate,Single,$40K - $60K,Blue,49,5,4,3,5905.0,726,5179.0,0.85,3982,65,0.857,0.123,Senior,4.08,61.26,Low
809620833,Existing Customer,35,Female,3,Unknown,Single,Unknown,Blue,30,3,3,2,9293.0,0,9293.0,0.897,2314,59,1.034,0.0,Adult,2.5,39.22,Low
718920708,Existing Customer,35,Male,3,Graduate,Married,$60K - $80K,Blue,25,5,3,3,5240.0,1451,3789.0,1.198,2172,38,0.81,0.277,Adult,2.08,57.16,Low
771051783,Existing Customer,53,Male,3,High School,Married,$120K +,Blue,40,6,2,5,4182.0,741,3441.0,0.885,1297,24,1.182,0.177,Middle-Aged,3.33,54.04,Low
715970133,Existing Customer,33,Female,4,College,Divorced,Less than $40K,Blue,24,6,2,2,9857.0,0,9857.0,0.699,3448,103,0.635,0.0,Adult,2.0,33.48,Low
806889633,Existing Customer,38,Male,2,Uneducated,Married,$80K - $120K,Blue,33,3,1,4,20117.0,1226,18891.0,1.4,2906,58,1.0,0.061,Adult,2.75,50.1,Low
717338733,Existing Customer,31,Male,0,High School,Divorced,Less than $40K,Blue,22,3,2,3,6012.0,0,6012.0,0.968,2801,72,0.674,0.0,Adult,1.83,38.9,Low
779223858,Existing Customer,37,Male,2,Graduate,Married,$60K - $80K,Blue,27,4,2,4,6369.0,0,6369.0,1.454,2675,47,1.136,0.0,Adult,2.25,56.91,Low
769980333,Existing Customer,36,Male,1,Uneducated,Single,$80K - $120K,Blue,30,4,2,5,13005.0,2152,10853.0,1.424,3023,53,0.767,0.165,Adult,2.5,57.04,Low
716112933,Attrited Customer,39,Female,3,Graduate,Married,Unknown,Blue,36,3,2,3,1575.0,592,983.0,0.236,644,15,0.154,0.376,Adult,3.0,42.93,Moderate
788783133,Existing Customer,58,Female,0,Post-Graduate,Married,Less than $40K,Blue,39,5,3,3,6679.0,1207,5472.0,0.538,1649,29,0.381,0.181,Middle-Aged,3.25,56.86,Low
816325533,Existing Customer,39,Female,1,Graduate,Married,Less than $40K,Blue,34,6,3,5,6458.0,1802,4656.0,0.923,2315,49,0.581,0.279,Adult,2.83,47.24,Low
720113433,Existing Customer,61,Male,0,Unknown,Single,$60K - $80K,Blue,48,3,2,4,20803.0,1446,19357.0,0.736,2073,43,0.654,0.07,Senior,4.0,48.21,Low
717233058,Existing Customer,34,Male,4,Unknown,Married,$40K - $60K,Blue,26,3,2,4,5540.0,1240,4300.0,0.843,1524,31,0.824,0.224,Adult,2.17,49.16,Low
710233683,Existing Customer,55,Male,3,Graduate,Married,$80K - $120K,Blue,36,4,3,4,2801.0,2403,398.0,0.884,1526,44,1.0,0.858,Middle-Aged,3.0,34.68,High
778327908,Existing Customer,50,Male,2,Uneducated,Single,Less than $40K,Blue,40,4,3,5,2419.0,2380,39.0,0.695,4099,73,0.659,0.984,Middle-Aged,3.33,56.15,High
716400633,Existing Customer,33,Male,3,High School,Single,$40K - $60K,Blue,24,6,3,3,5156.0,1427,3729.0,0.48,2057,54,0.421,0.277,Adult,2.0,38.09,Low
787488108,Existing Customer,48,Female,1,High School,Married,Unknown,Blue,36,6,4,4,14228.0,1953,12275.0,0.651,1970,51,0.645,0.137,Middle-Aged,3.0,38.63,Low
771649083,Existing Customer,63,Male,0,High School,Married,$80K - $120K,Blue,51,3,3,4,10257.0,1021,9236.0,0.467,1508,30,0.429,0.1,Senior,4.25,50.27,Low
789853533,Attrited Customer,54,Male,3,High School,Married,$40K - $60K,Blue,44,2,1,5,3032.0,0,3032.0,0.949,1037,14,2.5,0.0,Middle-Aged,3.67,74.07,Low
806256333,Attrited Customer,41,Male,4,Graduate,Unknown,$60K - $80K,Blue,36,2,3,5,1438.3,312,1126.3,0.657,1786,26,0.733,0.217,Adult,3.0,68.69,Low
796336833,Existing Customer,51,Male,3,Doctorate,Married,$80K - $120K,Blue,45,5,2,4,32096.0,0,32096.0,0.766,2619,69,0.917,0.0,Middle-Aged,3.75,37.96,Low
713763633,Existing Customer,54,Female,2,Graduate,Married,Unknown,Blue,46,5,3,2,3014.0,794,2220.0,0.5,1488,30,0.579,0.263,Middle-Aged,3.83,49.6,Low
710942358,Existing Customer,47,Male,4,Unknown,Single,$40K - $60K,Blue,36,3,3,3,5762.0,1890,3872.0,0.938,3814,88,0.66,0.328,Middle-Aged,3.0,43.34,Moderate
713974533,Existing Customer,52,Female,3,Post-Graduate,Single,Less than $40K,Blue,45,5,1,3,2555.0,1701,854.0,1.492,3127,45,1.25,0.666,Middle-Aged,3.75,69.49,Moderate
787231233,Existing Customer,34,Male,5,Post-Graduate,Single,$80K - $120K,Silver,28,3,3,2,34516.0,1731,32785.0,0.605,2421,63,0.575,0.05,Adult,2.33,38.43,Low
719810583,Existing Customer,64,Male,0,High School,Married,Less than $40K,Blue,54,4,3,2,2140.0,1361,779.0,0.46,1280,34,1.0,0.636,Senior,4.5,37.65,Moderate
717124983,Existing Customer,62,Female,1,Uneducated,Married,$40K - $60K,Blue,43,3,1,1,4760.0,0,4760.0,0.564,1459,20,0.538,0.0,Senior,3.58,72.95,Low
787523283,Existing Customer,38,Male,1,Graduate,Single,$80K - $120K,Blue,27,6,2,5,26372.0,1365,25007.0,1.394,2291,56,1.0,0.052,Adult,2.25,40.91,Low
719493858,Existing Customer,52,Female,2,Graduate,Married,Less than $40K,Blue,43,5,2,2,8203.0,654,7549.0,0.588,2910,63,0.909,0.08,Middle-Aged,3.58,46.19,Low
709897983,Existing Customer,35,Female,2,Doctorate,Married,$40K - $60K,Blue,24,5,2,3,2655.0,1527,1128.0,0.715,1921,26,0.444,0.575,Adult,2.0,73.88,Moderate
717225258,Existing Customer,35,Male,2,Graduate,Single,$120K +,Blue,27,6,2,2,13655.0,1048,12607.0,0.509,2383,59,0.595,0.077,Adult,2.25,40.39,Low
803148033,Existing Customer,54,Male,1,College,Married,$80K - $120K,Blue,48,6,1,5,12169.0,1935,10234.0,0.435,1599,38,0.652,0.159,Middle-Aged,4.0,42.08,Low
779474958,Existing Customer,35,Female,3,Unknown,Single,Less than $40K,Blue,17,6,1,1,2956.0,1823,1133.0,0.969,2144,58,0.812,0.617,Adult,1.42,36.97,Moderate
712060158,Existing Customer,35,Male,0,Doctorate,Single,$60K - $80K,Blue,18,6,2,3,2598.0,1645,953.0,0.765,2483,59,0.903,0.633,Adult,1.5,42.08,Moderate
713292933,Existing Customer,36,Female,3,Graduate,Single,Unknown,Blue,36,5,2,2,10566.0,726,9840.0,0.893,2156,64,1.207,0.069,Adult,3.0,33.69,Low
710982858,Existing Customer,33,Female,3,Graduate,Single,$40K - $60K,Blue,36,6,1,2,8232.0,2259,5973.0,1.158,2849,67,1.31,0.274,Adult,3.0,42.52,Low
714542058,Existing Customer,53,Male,1,Graduate,Unknown,$60K - $80K,Silver,44,5,2,1,26365.0,680,25685.0,0.498,3411,68,0.789,0.026,Middle-Aged,3.67,50.16,Low
712319058,Existing Customer,37,Female,1,Uneducated,Married,Less than $40K,Blue,29,5,3,0,4671.0,1933,2738.0,0.986,2468,58,0.706,0.414,Adult,2.42,42.55,Moderate
744483633,Existing Customer,35,Male,3,Graduate,Married,$120K +,Blue,28,4,3,2,14869.0,0,14869.0,1.624,2753,48,1.087,0.0,Adult,2.33,57.35,Low
714947883,Existing Customer,59,Male,1,Graduate,Married,$40K - $60K,Blue,36,6,2,2,2300.0,1965,335.0,0.596,1693,27,0.688,0.854,Middle-Aged,3.0,62.7,High
788776908,Existing Customer,47,Male,1,Unknown,Unknown,$80K - $120K,Blue,28,6,1,4,2797.0,1802,995.0,0.675,3525,63,0.75,0.644,Middle-Aged,2.33,55.95,Moderate
714802458,Existing Customer,48,Female,3,High School,Single,$40K - $60K,Blue,30,5,2,1,2657.0,2115,542.0,0.688,3580,77,0.711,0.796,Middle-Aged,2.5,46.49,High
721485708,Existing Customer,58,Male,2,Uneducated,Married,$80K - $120K,Blue,46,6,1,3,9149.0,1806,7343.0,0.35,1220,36,0.333,0.197,Middle-Aged,3.83,33.89,Low
716378658,Existing Customer,55,Female,2,Unknown,Married,Less than $40K,Blue,36,5,2,3,2629.0,1476,1153.0,0.537,1725,41,0.414,0.561,Middle-Aged,3.0,42.07,Moderate
713375658,Existing Customer,37,Male,2,Graduate,Divorced,$40K - $60K,Blue,17,6,3,3,3176.0,0,3176.0,0.652,2298,67,0.457,0.0,Adult,1.42,34.3,Low
717828108,Existing Customer,57,Male,2,Graduate,Married,$80K - $120K,Blue,42,6,1,0,21875.0,2517,19358.0,0.409,1327,31,0.409,0.115,Middle-Aged,3.5,42.81,Low
788784258,Existing Customer,60,Male,2,High School,Married,Unknown,Blue,41,5,2,4,3007.0,1664,1343.0,0.34,1475,31,0.632,0.553,Middle-Aged,3.42,47.58,Moderate
718875483,Existing Customer,50,Male,1,College,Married,$60K - $80K,Blue,40,4,2,4,17404.0,1745,15659.0,0.54,4491,78,0.66,0.1,Middle-Aged,3.33,57.58,Low
811111083,Existing Customer,56,Male,2,High School,Married,$60K - $80K,Blue,51,5,6,3,2863.0,2517,346.0,0.583,1458,39,0.696,0.879,Middle-Aged,4.25,37.38,High
715749108,Existing Customer,48,Male,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516.0,2429,32087.0,0.742,3205,57,0.727,0.07,Middle-Aged,3.08,56.23,Low
780197133,Existing Customer,40,Male,4,Graduate,Single,$60K - $80K,Blue,30,4,1,1,13919.0,1266,12653.0,0.438,3699,67,0.523,0.091,Adult,2.5,55.21,Low
719146008,Attrited Customer,48,Male,3,Graduate,Married,$80K - $120K,Blue,39,4,4,3,18672.0,2517,16155.0,0.799,1126,35,0.591,0.135,Middle-Aged,3.25,32.17,Low
717727308,Existing Customer,50,Female,1,Uneducated,Married,Less than $40K,Blue,36,6,2,2,4204.0,499,3705.0,0.635,4740,67,0.523,0.119,Middle-Aged,3.0,70.75,Low
718445883,Existing Customer,61,Female,1,Uneducated,Married,Less than $40K,Blue,36,3,2,4,6859.0,2489,4370.0,0.65,1617,26,1.0,0.363,Senior,3.0,62.19,Moderate
795997908,Existing Customer,36,Male,2,High School,Married,$80K - $120K,Blue,30,6,3,3,16050.0,1480,14570.0,1.326,3215,56,0.806,0.092,Adult,2.5,57.41,Low
710159658,Existing Customer,46,Male,5,High School,Married,$120K +,Blue,32,5,2,2,34516.0,1024,33492.0,0.72,2436,71,0.651,0.03,Middle-Aged,2.67,34.31,Low
716068683,Existing Customer,28,Male,0,Uneducated,Divorced,Unknown,Blue,36,3,3,3,16766.0,1535,15231.0,1.042,3093,77,0.878,0.092,Young Adult,3.0,40.17,Low
778844433,Existing Customer,49,Male,5,Unknown,Single,$80K - $120K,Blue,30,3,2,1,20895.0,1808,19087.0,0.572,3210,65,0.667,0.087,Middle-Aged,2.5,49.38,Low
715161633,Existing Customer,44,Female,4,High School,Single,$40K - $60K,Blue,38,6,3,3,7881.0,2517,5364.0,0.738,3068,77,0.711,0.319,Adult,3.17,39.84,Moderate
773270058,Existing Customer,57,Male,5,High School,Married,$80K - $120K,Blue,50,4,2,3,13427.0,0,13427.0,0.521,1337,27,0.588,0.0,Middle-Aged,4.17,49.52,Low
714120258,Existing Customer,37,Male,2,Uneducated,Divorced,$80K - $120K,Blue,36,3,3,2,2281.0,1677,604.0,1.027,2735,58,1.071,0.735,Adult,3.0,47.16,High
720076458,Existing Customer,57,Male,2,Uneducated,Married,$80K - $120K,Blue,52,6,2,4,10974.0,0,10974.0,0.591,1327,26,1.0,0.0,Middle-Aged,4.33,51.04,Low
720693033,Attrited Customer,33,Male,1,Unknown,Married,$60K - $80K,Blue,36,1,3,4,8925.0,168,8757.0,0.447,741,10,0.429,0.019,Adult,3.0,74.1,Low
719978583,Existing Customer,46,Male,2,High School,Married,$60K - $80K,Blue,40,4,1,3,5265.0,0,5265.0,0.524,3281,68,0.744,0.0,Middle-Aged,3.33,48.25,Low
712784058,Attrited Customer,45,Female,2,High School,Divorced,Unknown,Blue,36,6,4,3,17156.0,2517,14639.0,0.717,1142,33,0.32,0.147,Adult,3.0,34.61,Low
717261708,Existing Customer,53,Male,1,Unknown,Married,$80K - $120K,Blue,36,4,2,3,13457.0,1248,12209.0,0.512,1548,41,0.519,0.093,Middle-Aged,3.0,37.76,Low
803665983,Existing Customer,52,Male,0,Unknown,Married,$60K - $80K,Blue,46,3,2,4,2742.0,2184,558.0,0.592,3829,72,0.532,0.796,Middle-Aged,3.83,53.18,High
815838633,Existing Customer,34,Male,1,Unknown,Married,$60K - $80K,Blue,29,3,2,3,3890.0,2286,1604.0,0.633,1889,51,0.457,0.588,Adult,2.42,37.04,Moderate
